customer_id,customer_billing_city,customer_billing_state,customer_billing_zip,customer_billing_country,customer_since,customer_purchases,customer_area_code,customer_email_from,customer_email_ext,customer_is_business,customer_total_value
973,Quakertown,PA,18951,US,11/13/2009,1,215,comcast.net,net,1,0
126,Idaho Falls,ID,83402,US,12/11/2008,0,208,msn.com,com,1,0
276,Oregon,WI,53575,US,4/28/2009,2,608,charter.net,net,0,74.04
3552,Hendersonville,NC,28792,USA,9/30/2011,1,828,bellsouth.net,net,0,29.14
3663,allentown,PA,18104,USA,11/23/2011,1, ,gmail.com,com,0,23.88
2365,live oak,FL,32060,USA,8/31/2010,1,386,hotmail.com,com,0,33.53
1466,Newark,N.J.,7108,US,3/1/2010,2,973,yahoo.com,com,0,29.64
672,Dinuba,CA,93618,US,9/2/2009,4,559,personal domain,com,1,909.97
2560,Waxahachie,TX,75165,USA,11/14/2010,1, ,personal domain, ,0,24.73
1305,Victoria,BC,V8X 3T4,CA,2/3/2010,1,250,shaw.ca,ca,0,16.74
2091,Callahan,FL,32011,US,6/21/2010,1,904,aol.com,com,1,55.69
4180,arcadia,IN,46030,USA,8/23/2012,1, ,aol.com,com,0,109.37
1797,Lubbock,TX,79412,US,4/23/2010,0,432,yahoo.com,com,0,0
2880,Boise,Idaho,83714,USA,3/4/2011,0,208,personal domain,info,1,0
4400,New Carrollton,MD,20784,USA,2/27/2013,1,301,aol.com,com,0,42.69
3213,Tulsa,OK,74133,USA,5/19/2011,1,918,gmail.com,com,0,82.33
2964,Denver,CO,80223,USA,3/21/2011,0,303,personal domain,net,1,0
3271,jacksonville,AR,72076,USA,6/6/2011,1,501,yahoo.com,com,0,67.14
2693,Belton,MO,64012,USA,1/10/2011,1,816,yahoo.com,com,0,71.36
4060,Des Moines,IA,50317,USA,6/10/2012,1,515,personal domain, ,0,19.64
4892,Grosse pointe park,MI,48230,USA,1/26/2016,3,313,gmail.com,com,0,104.93
3927,Pittsfield,ME,4967,USA,4/9/2012,0,207,gmail.com,com,1,0
2042,Pasco,WA,99301,US,6/8/2010,1,509,charter.net,net,0,36.8
4213,Tucson,AZ,85755,USA,9/9/2012,1, ,yahoo.com,com,0,18.99
2897,Westminster,SC,29693,USA,3/7/2011,1,864,bellsouth.net,net,0,68.99
3966,Norwich,NY,13815,USA,4/25/2012,1,607,aol.com,com,1,55.06
2776,smithsburg,MD,21783,USA,2/5/2011,1,301,juno.com,com,0,19.39
1324,Ashville,NY,14710,US,2/8/2010,1,716,windstream.net,net,1,0
3345,Houston,TX,77076,USA,6/30/2011,0,713,personal domain,com,1,0
425,Louisville,KENTUCKY,40211,US,6/15/2009,0,502,personal domain,cpm,1,0
4186,WARRENTON,VA,20186,USA,8/27/2012,1,540,comcast.net,net,0,38.87
4950,Boston,MA,2215,USA,7/28/2017,1,617,personal domain, ,0,98.13
2370,Huber Heights,OH,45424,USA,8/31/2010,1, ,yahoo.com,com,0,12.88
3501,Ballston Lake,NY,12019,USA,9/6/2011,1,518,yahoo.com,com,1,36.12
3847,Peoria,IL,61604,USA,3/6/2012,1,309,personal domain,com,1,60.09
3490,Pleasant Plains,IL,62677,USA,8/31/2011,3,217,personal domain,com,0,76.48
3262,Baton Rouge,LA,70810,USA,6/2/2011,0,225,personal domain,com,1,0
735,Lincolnton,NC,28092,US,9/21/2009,1,,aol.com,com,0,71.9
4703,Jupiter,FL,33477,USA,6/2/2014,1,678,personal domain, ,0,37.2
2380,Sheridan,WY,82801,USA,9/4/2010,1,307,personal domain, ,0,26.13
3732, , , , , ,0, ,comcast.net,net,0,0
3841,Findlay,OH,45840,USA,3/4/2012,1, ,personal domain, ,0,19.39
2934,Springville,NY,14141,USA,3/15/2011,1,716,personal domain, ,0,39.87
1884,Butler,NJ,7405,US,5/6/2010,0,973,yahoo.com,com,0,0
3651,Phenix City,AL,36867,USA,11/18/2011,1,334,personal domain, ,0,18.87
3788,Bloomsburg,PA,17815,USA,2/11/2012,1, ,gmail.com,com,0,12.18
1287,Latham,NY,12110,US,1/31/2010,1,518,mac.com,com,0,10.42
3850,Grant,NE,69140,USA,3/7/2012,1,308,hotmail.com,com,0,24.13
2009,Mobile,AL,36609,US,6/3/2010,1,251,hotmail.com,com,0,9.88
4306,Chicago,IL,60620,USA,11/9/2012,1,773,yahoo.com,com,0,41.24
605,Airmont,NY,10952,US,8/17/2009,1,845,aol.com,com,0,26.56
4283,Woodbridge,VA,22191,USA,10/18/2012,1,703,yahoo.com,com,0,69.43
2661, , , , ,12/28/2010,0, ,personal domain, ,1,0
2141,East Chicago,INDIANA,46312,US,7/1/2010,0,219,yahoo.com,com,0,0
4522,Miles City,MT,59301, ,6/25/2013,0,406,q.com,com,1,0
854,San Antonio,TX,78226,US,10/16/2009,1,210,personal domain,com,1,0
1003,Tucson,AZ,85750,US,11/22/2009,1,520,yahoo.com,com,0,60.55
1902,Fort Dodge,IA,50501,US,5/9/2010,0,515,gmail.com,com,0,0
3227,Steger,IL,60475,USA,5/23/2011,1,708,aol.com,com,0,20.83
452,Columbia,SC,29209,US,6/26/2009,0,803,aol.com,com,1,0
606,Chambersburg,PA,17201,US,8/17/2009,0,717,yahoo.com,com,1,0
734,Pearisburg,VA,24134,US,9/20/2009,1,540,hotmail.com,com,0,46.31
3735, , , , , ,0, ,hotmail.com,com,0,0
4783,Wittmann,AZ,85361,USA,1/25/2015,1,602,gmail.com,com,0,37.93
3101,Somerville,MA,2143,USA,4/19/2011,1,617,personal domain,org,0,38.09
3412,Ord,NE,68862,USA,7/28/2011,1,308,personal domain,net,0,51.37
2977,Lake Mary,FL,32746,USA,3/24/2011,1, ,gmail.com,com,0,29.96
3239,lincoln,NE,68522,USA,5/25/2011,1,402,personal domain, ,0,29.82
4880,Idaho Falls,ID,83404,USA,11/14/2015,1,208,personal domain,com,0,31.78
1620,Brownsburg,IN,46112,US,3/21/2010,1,317,personal domain,com,0,47.86
1857,Bowling Green,OHIO,43402,US,5/3/2010,0,419,yahoo.com,com,0,0
718,Carson City,NV,89721,US,9/14/2009,1,775,yahoo.com,com,0,0
273,College Station,TX,77840,US,4/28/2009,2,979,personal domain,org,1,0
2333,Dearborn,MI,48126,USA,8/23/2010,1,313,personal domain,edu,0,20.34
3674,Portland,OR,97202,USA,11/30/2011,7,503,gmail.com,com,1,1324.19
4685,Evansville,IN,47712, ,4/5/2014,0,270,yahoo.com,com,0,0
3353,Cortez,CO,81321,USA,7/3/2011,1,970,personal domain,com,0,106.34
3813,Sentinal,OK,73664,USA,2/23/2012,0,580,yahoo.com,com,1,0
1276,Port Angeles,WA,98363,US,1/29/2010,1,360,msn.com,com,0,35.39
2505,cornville,AZ,86325,USA,10/20/2010,1,928,msn.com,com,0,37.64
3329,trevose,PA,19053,USA,6/26/2011,1,215,comcast.net,net,0,122.98
552,Vandalia,MO,63382,US,8/3/2009,1,573,personal domain,com,1,0
2259,Barnegat,NJ,8005,USA,8/1/2010,1, ,hotmail.com,com,0,19.89
2119,Brighton,MI,48116,US,6/27/2010,1,810,yahoo.com,com,0,10.42
2436,Menominee,MI,49858,USA,9/24/2010,0,906,personal domain,net,1,0
3251,Bayville,NY,11709,USA,5/31/2011,1,516,mac.com,com,0,32.67
3427,Jurupa Valleu,CA,91752,USA,8/5/2011,1,951,yahoo.com,com,0,41.83
2054,Haubstadt,IN,47639,US,6/12/2010,1,812,yahoo.com,com,0,148.68
3102,Irvine,CA,92602,USA,4/20/2011,1,714,gmail.com,com,0,19.84
562,Walters,OK,73572,US,8/7/2009,1,,sbcglobal.net,net,1,0
569,Alberta,MN,56207,US,8/8/2009,1,320,personal domain,com,0,47.04
2234,Blairsden,CA,96103,USA,7/25/2010,1,530,live.com,com,0,25.92
4147,Northglenn,CO,80234,USA,8/8/2012,4, ,yahoo.com,com,0,305.73
349,Manitowoc,WI,54220,US,5/21/2009,2,,personal domain,net,1,0
1382,Levittown,PA,19054-4203,US,2/15/2010,1,215,comcast.net,net,0,20.53
290,Old Bethpage,NY,11804,US,5/6/2009,1,516,aol.com,com,1,40.12
4852,Rochester,NY,14619,USA,7/13/2015,1, ,msn.com,com,0,25.63
768,Avon Lake,OHIO,44012,US,9/28/2009,1,440,hotmail.com,com,0,20.58
2955,Hamtpon,VA,23669,USA,3/19/2011,2,757,yahoo.com,com,0,41.25
3553,Mount Airy,MD,21771,USA,9/30/2011,1, ,verizon.net,net,0,156.7
3613,Pocatello,ID,83204,USA,10/29/2011,1,208,personal domain, ,0,25.75
3550,Parker,CO,80134-8848,USA,9/28/2011,1,720,aol.com,com,0,12.94
4023,Clinton,TN,37716,USA,5/22/2012,1,865,personal domain, ,0,21.6
3396,Warner Robins,GA,31088,USA,7/21/2011,1, ,cox.net,net,0,21.09
746,Gurnee,IL,60031,US,9/23/2009,9,,gmail.com,com,1,755.87
969,Valencia,CA,91354,US,11/12/2009,1,661,personal domain,com,0,16.05
341,Rockford,IL,61102,US,5/20/2009,0,815,personal domain,com,1,0
1066,Gastonia,NC,28056,US,12/7/2009,1,704,yahoo.com,com,0,20.44
4461,LETHBRIDGE,AB,T1J4T1,CAN,4/25/2013,1,403,hotmail.com,com,0,74.74
1696,Winston Salem,NC,27103,US,4/2/2010,1,336,hotmail.com,com,1,0
4580,Parkville,MD,21234,USA,9/28/2013,3,443,yahoo.com,com,0,65.34
4820,San Francisco,CA,94122,USA,4/17/2015,1, ,gmail.com,com,0,16.98
2872,Lake in the Hills,IL,60156,USA,3/1/2011,1,847,comcast.net,net,0,47.89
1219,Rosenberg,TEXAS,77471,US,1/18/2010,1,281,yahoo.com,com,0,19.26
4307,Fairfax,VA,22032,USA,11/10/2012,1, ,cox.net,net,0,43.88
4130,New Holstein,WI,53061,USA,7/31/2012,1,920,charter.net,net,0,31.03
94,Tujunga,CA.,91042,US,11/7/2008,0,,verizon.net,net,0,0
4403,Lehigh Acres,FL,33976,USA,3/3/2013,1,239,yahoo.com,com,0,58.63
1022,Livingston,NJ,7039,US,11/28/2009,1,973,aol.com,com,0,12.6
4426,ringwood,NJ,7456,USA,3/20/2013,1, ,yahoo.com,com,0,49.66
4355,Eagle,ID,83616,USA,1/10/2013,0,208,aol.com,com,1,0
3087,Converse,TX,78109,USA,4/17/2011,1,210,sbcglobal.net,net,0,35.93
2714,Baltimore,MD,21214,USA,1/19/2011,1,410,aol.com,com,0,19.39
2941,Bullhead City,AZ,86442,USA,3/16/2011,1,928,personal domain,net,0,16.65
1095,Fenton,MO,63026,US,12/13/2009,0,314,sbcglobal.net,net,0,0
622,Suwanee,GA,30024,US,8/21/2009,0,,gmail.com,com,0,0
1323,Casper,WY,82609,US,2/7/2010,1,307,personal domain,com,0,14.19
3368,Murphy,NC,28906,USA,7/12/2011,1,828,aol.com,com,0,107.91
618,Great Falls,MT,59401,US,8/19/2009,1,406,hotmail.com,com,0,11.81
481,Leola,PA,17540,US,7/7/2009,1,717,frontiernet.net,net,0,32.97
3205,High bridge,NJ,8829,USA,5/17/2011,1,908,gmail.com,com,0,37.49
4167,Gulf Breeze,FL,32563,USA,8/20/2012,1, ,gmail.com,com,0,172.8
3705,saint clair shores,MI,48081,USA,12/22/2011,1,586,gmail.com,com,0,47.26
596,Greenfield,IN,46140,US,8/15/2009,0,,hotmail.com,com,0,0
3975,Clayton,OH,45315,USA,4/30/2012,1,937,msn.com,com,0,126.81
3616,Deer Park,WA,99006,USA,10/31/2011,1,509,personal domain,,0,54.34
4297,tampa,FL,33601,USA,10/25/2012,1,813,gmail.com,com,0,17.19
1153,Emmaus,PA,18049,US,12/30/2009,0,,yahoo.com,com,0,0
2653,Snohomish,WA,98290,USA,12/21/2010,1, ,yahoo.com,com,0,13.39
4912,Lake Grove,NY,11755-1822,USA,4/26/2016,1, ,personal domain, ,0,30.39
3880,Green Bay,WI,54303,USA,3/20/2012,1,920,gmail.com,com,0,105.81
3858,Charlottesville,VA,22902,USA,3/12/2012,0,434,gmail.com,com,1,0
2349,Philadelphia,PA,19115,USA,8/25/2010,2,267,personal domain,com,1,127.81
3170,Pine City,MN,55063,USA,5/9/2011,1, ,personal domain, ,0,20.84
1582,Accord,NY,12404,US,3/16/2010,1,866,personal domain,com,1,0
4135,Franklin,NH,3235,USA,8/4/2012,1,603,yahoo.com,com,0,19.33
570,Phoenix,AZ,85016,US,8/8/2009,0,602,gmail.com,com,0,0
4670,Columbia,MO,65203,USA,3/5/2014,1,573,personal domain,net,0,85.86
13,San Jose,CA,95126,US,6/26/2008,0,408,gmail.com,com,1,0
3727,Warwick,NY,10990,USA,1/15/2012,1, ,yahoo.com,com,0,12.4
4354,Cherry Hill,NJ,8003,USA,1/10/2013,4,609,yahoo.com,com,1,188.22
43,Hemet,CA,92545,US,8/23/2008,1,951,msn.com,com,0,40.34
4838,North York,ON,M2N 6Z6,CAN,5/16/2015,1,416,gmail.com,com,0,82.82
189,Watertown,SD,57201,US,3/4/2009,0,605,hotmail.com,com,0,0
433,Katy,TEXAS,77449,US,6/17/2009,0,281,personal domain,com,1,0
266,Roseville,MN,55113,US,4/22/2009,3,651,personal domain,org,1,238.33
1937,Montreal,QUEBEC,H4N1G6,CA,5/16/2010,1,514,personal domain,com,1,198
4594,aloha,OR,97007,USA,10/12/2013,1,503,personal domain, ,0,47.77
74,Columbia,MD,21045,US,9/29/2008,0,410,personal domain,org,1,0
4633,Old Forge,NY,13420,USA,1/14/2014,1,315,gmail.com,com,0,49.71
1714,Lodi,CA,95240,US,4/7/2010,1,209,hotmail.com,com,0,39.52
177,Lewistown,PA,17044,US,2/18/2009,2,717,hotmail.com,com,0,117.92
2754,McMinnville,OR,97128,USA,1/30/2011,1, ,msn.com,com,0,57.65
3675,Grants Pass,OR,97526,USA,12/1/2011,1,541,yahoo.com,com,0,18.74
1071,Jacksonville,AL,36265,US,12/8/2009,1,256,yahoo.com,com,0,23.7
4053,Hamden,CT,6514,USA,6/6/2012,1,203,aol.com,com,1,82.99
3569,Queen Creek,AZ,85140,USA,10/5/2011,1,602,hotmail.com,com,0,30.34
3066,fallston,MD,21047,USA,4/14/2011,1,443,comcast.net,net,0,19.39
3951,Blacksburg,VA,24060,USA,4/20/2012,1, ,personal domain,com,0,37.28
2199,Portland,OR,97239,USA,7/15/2010,1,503,personal domain,com,1,211.46
4637,Owensboro,KY,42301,USA,1/27/2014,0,270,gmail.com,com,1,0
347,Glendale,AZ,85301,US,5/21/2009,2,602,personal domain,com,1,0
4604,Sonoma,CA,95476,USA,10/29/2013,1,707,hotmail.com,com,0,16.93
1808,Franklin,IN,46131,US,4/26/2010,1,812,msn.com,com,1,24.88
4753,Vandalia,OH,45377,USA,9/27/2014,1,937,yahoo.com,com,0,12.64
1473,Coal Township,PA,17866,US,3/2/2010,0,570,yahoo.com,com,0,0
1891,Jersey City,NJ,7307,US,5/8/2010,1,201,hotmail.com,com,0,26.05
3638,Herman,MN,56248,USA,11/10/2011,0,320,personal domain,net,1,0
2861,Christiansburg,VA,24073,USA,2/26/2011,1,540,hotmail.com,com,1,29.04
2604,Glendale,AZ,85310,USA,11/29/2010,1,623,cox.net,net,0,26.97
3301,Zimmerman,MN,55398,USA,6/16/2011,1,763,gmail.com,com,0,37.36
1683,Clarksville,TN,37040,US,3/30/2010,0,931,yahoo.com,com,0,0
4886,Greenville,SC,29615,USA,12/11/2015,1,864,gmail.com,com,0,35.53
2109,Richmond,TEXAS,77469,US,6/25/2010,1,281,aol.com,com,1,19.76
3785,Washington,IA,52353,USA,2/10/2012,1,319,yahoo.com,com,0,95.81
22,Farmington,UTAH,84025,US,7/14/2008,3,801,msn.com,com,0,109.76
2455,Urbana,IL,61802,USA,9/30/2010,1,217,personal domain, ,0,53.39
52,Drexel,NC,28619,US,9/10/2008,1,828,bellsouth.net,net,0,23.36
2737,Orange Park,FL,32065,USA,1/26/2011,1,904,comcast.net,net,0,84.54
791,Cincinnati,OHIO,45218,US,10/3/2009,1,,yahoo.com,com,0,33.57
3138,Palmyra,NY,14522,USA,5/2/2011,1,585,personal domain,com,0,20.08
1434,Queen Creek,AZ,85240,US,2/25/2010,1,602,gmail.com,com,0,18.76
2320,denver,CO,80219,USA,8/18/2010,2,303,live.com,com,0,111.8
4371,Roxboro,NC,27573,USA,1/30/2013,1,803,yahoo.com,com,0,21.75
3680,Bradford,PA,16701-1712,USA,12/3/2011,1,814,msn.com,com,0,43.44
2144,Harvard,NEBRASKA,68944,US,7/2/2010,1,402,hotmail.com,com,0,39.52
2578,Senatobia,MS,38668,USA,11/22/2010,1,662,yahoo.com,com,0,173.46
3285,Pittsburgh,PA,15206,USA,6/10/2011,1, ,gmail.com,com,0,36.71
3564,Sarasota,FL,34241,USA,10/4/2011,1,941,aol.com,com,0,24.69
3332,Ozone Park,NY,11417,USA,6/27/2011,0,718,personal domain,com,1,0
2215,Mandan,ND,58554,USA,7/20/2010,1, ,hotmail.com,com,0,64.42
1560,Loveland,OHIO,45140,US,3/14/2010,1,513,cinci.rr.com,com,0,20.84
818,Murphysboro,IL,62966,US,10/8/2009,1,618,verizon.net,net,1,0
3671,Henderson,NV,89002,USA,11/28/2011,1,702,personal domain, ,0,62.09
1748,Alvin,TX,77511,US,4/11/2010,1,832,personal domain,com,0,53.17
1926,Columbia,IL,62236,US,5/13/2010,1,314,personal domain,com,0,9.88
2034,Westampton,NJ,8060,US,6/7/2010,2,201,msn.com,com,1,294.85
302,Richmond,CA,94801,US,5/12/2009,2,510,sbcglobal.net,net,1,0
3131,Sikeston,MO,63801,USA,4/29/2011,1, ,personal domain,com,0,71.24
3037, , , , ,4/6/2011,0, ,personal domain, ,0,0
1325,Lake Worth,FL,33467,US,2/8/2010,1,561,bellsouth.net,net,0,56.42
2073,Nacogdoches,TEXAS,75964,US,6/16/2010,1,936,yahoo.com,com,1,140.73
3632,Goldon Beach,Caloundra,4551,Austrailia,11/6/2011,0,42,personal domain,au,1,0
3860,Evanston,WY,82930,USA,3/12/2012,1,712,hotmail.com,com,0,53.15
205,Davie,FL,33325,US,3/16/2009,3,954,personal domain,com,1,185.4
4934,North Augusta,SC,29841,USA,1/3/2017,1,803,gmail.com,com,0,49.79
1618,Brookfield,WI,53045,US,3/20/2010,1,262,personal domain,com,0,44.71
1035,La Canada,CA,91011,US,12/1/2009,1,,earthlink.net,net,0,12.06
2531,Papillion,NE,68133,USA,11/1/2010,1,402,gmail.com,com,0,19.89
2139,Chesapeake,VA,23324,US,7/1/2010,0,757,gmail.com,com,0,0
2673,Gilbert,AZ,85234,USA,1/2/2011,1, ,personal domain,net,0,39.74
3149,Lawrenceville,GA,30044,USA,5/3/2011,1,678,yahoo.com,com,0,64.45
2057,Donalsonville,GA.,39845,US,6/12/2010,0,,personal domain,co,0,0
2218, , , ,usa,7/20/2010,0,815,personal domain,com,1,0
3636,Levan,UT,84639,USA,11/9/2011,1, ,personal domain,com,0,27.63
3033,Parowan,UT,84761,USA,4/5/2011,1,435,personal domain,com,0,43.61
1474,Charleston,SC,29407,US,3/2/2010,1,,gmail.com,com,0,26.84
299,Whaleyville,MD,21872,US,5/12/2009,1,410,hotmail.com,com,0,27.15
1201,Danbury,CT,6810,US,1/13/2010,1,203,yahoo.com,com,0,175.26
1331,Camillus,NY,13031,US,2/8/2010,1,315,aol.com,com,1,0
1192,Borden,IN,47106,US,1/10/2010,1,812,yahoo.com,com,0,28.82
2946,Carlsbad,CA,92011,USA,3/18/2011,1,760,gmail.com,com,0,53.58
4491,Elkhorn,WI,53121,USA,5/26/2013,1,262,yahoo.com,com,0,40.44
864,Preston,IOWA,52069,US,10/18/2009,1,563,hotmail.com,com,0,23.2
325,Spencer,IA,51301,US,5/18/2009,2,712,personal domain,net,0,131.3
700,Randallstown,MARYLAND,21133,US,9/9/2009,0,410,yahoo.com,com,1,0
4124,Astoria,OR,97103,USA,7/25/2012,1,503,hotmail.com,com,0,86.64
2233,Kokomo,IN,46902,USA,7/25/2010,1, ,gmail.com,com,0,54.95
30,Tucson,AZ,85745,US,8/1/2008,1,520,yahoo.com,com,0,30.19
3273,Lubbock,TX,79410,USA,6/7/2011,0,806,suddenlink.net,net,1,0
1732,Plainwell,MI,49080,US,4/9/2010,1,269,personal domain,net,0,29.64
2810,orofino,ID,83544,USA,2/15/2011,1,208,hotmail.com,com,0,27
4947,Montague,MA,1351,USA,6/18/2017,1,781,gmail.com,com,0,149.9
492,Shelton,WA,98584,US,7/11/2009,1,360,aol.com,com,0,27.19
1160,Arrington,TN,37014,US,1/2/2010,0,615,comcast.net,net,1,0
2288,West Lafayette,IN,47906,USA,8/10/2010,1,574,purdue.edu,edu,0,19.89
3366,WHITEHORSE,YT,Y1A 4A9,CAN,7/11/2011,1, ,personal domain, ,0,78.09
1742,Carteret,NJ,7008,US,4/11/2010,1,732,comcast.net,net,0,9.88
4288,Eindhoven,-,5612 AR,NLD,10/22/2012,2,31,personal domain,nl,0,148.62
1366,West Desmoines,IA,50265,US,2/12/2010,0,515,personal domain,com,1,0
4860,Everett,PA,15537,USA,7/31/2015,1, ,live.com,com,0,60.91
2898,Toronto,ON,M6N5H8,CAN,3/7/2011,1,647,gmail.com,com,0,266.22
1150,Middleboro,MA,2346,US,12/29/2009,1,508,verizon.net,net,0,19.76
4369,Gordonsville,VA,22942,USA,1/28/2013,1,540,gmail.com,com,0,31.74
3784,New Orelans,LA,70181,USA,2/10/2012,1,504,yahoo.com,com,0,19.39
3870,San Ramon,CA,94582,USA,3/18/2012,1,925,personal domain, ,0,36.44
4350,Weed,CA,96094,USA,1/6/2013,1,360,yahoo.com,com,0,47.58
3382,Oviedo,FL,32765,USA,7/17/2011,1,407,aol.com,com,0,66.67
1487,Brooklyn,NY,11229,US,3/4/2010,1,718,yahoo.com,com,0,24.56
2393,Colby,KS,67701,USA,9/13/2010,1,785,gmail.com,com,0,19.11
592,Moultrie,GA,31776,US,8/14/2009,4,229,windstream.net,net,1,110.42
619,Aurora,CO,80013,US,8/20/2009,1,303,comcast.net,net,1,0
4616,Garland,TX,75040,USA,11/16/2013,1,408,gmail.com,com,0,20.15
2495,Miami,FL,33143,USA,10/17/2010,1,305,aol.com,com,0,33.53
1614,Swoyersville,PA.,18704,US,3/20/2010,3,570,verizon.net,net,0,509.16
4518,Denver,CO,80225,USA,6/19/2013,1,303,personal domain,gov,0,134.97
3763,Hacienda heights,CA,91745,USA,1/29/2012,1, ,yahoo.com,com,0,21.95
308,San Bruno,CA,94066,US,5/14/2009,0,650,yahoo.com,com,1,0
1108,Union,KY,41091,US,12/15/2009,1,859,insightbb.com,com,0,35.19
3268,Holland,MI,49423,USA,6/6/2011,1, ,gmail.com,com,0,78.6
1303,Newnan,GA,30263,US,2/3/2010,1,,charter.net,net,0,9.88
2559,Olympia,WA,98512,USA,11/13/2010,1, ,comcast.net,net,0,11.54
503,Desoto,TEXAS,75115,US,7/16/2009,0,214,personal domain,com,1,0
29,Leonardo,NJ,7737,US,8/1/2008,0,732,hotmail.com,com,0,0
